,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
instant,0.0,0.0,0.0,0.0,0.529074501218519,0.05226367365213899,0.8580507414425537,0.6525372759258475,0.06125895601506766,1.034051747799234e-72,3.143998721030702e-74,0.20679091903970057,7.968208088812722e-23,6.696250173948839e-98,3.5304446e-315,9.312181162324862e-307
season,0.0,0.0,0.1567418710350429,0.0,0.4200484884430211,0.2064236376619594,0.758199432978268,0.07003247448739945,0.05554418220947037,0.0,0.0,1.0172529559507849e-88,9.952085801339988e-88,6.011150858137791e-57,1.6853633335375994e-118,9.182191254314683e-124
yr,0.0,0.1567418710350429,0.0,0.16740849254775575,0.6102263972541477,0.37772356413347596,0.5543892010264837,0.7722158582672127,0.011553798271517975,6.83486947629746e-08,2.313800249479424e-07,2.667230849413976e-28,0.2492936164995769,8.099087744282544e-80,2.3613046844952444e-253,7.213184208682753e-247
mnth,0.0,0.0,0.16740849254775575,0.0,0.4467412373122834,0.015111702138337003,0.17038348654404992,0.6467160544869791,0.4766072673647239,5.870298659527491e-159,2.6161863932522596e-169,1.4549028708594143e-105,6.975013520730787e-72,1.645465746038132e-19,7.122154719648871e-59,2.3970215331309397e-57
hr,0.529074501218519,0.4200484884430211,0.6102263972541477,0.4467412373122834,0.0,0.949639340647842,0.6447460466208619,0.7632553287430541,0.007736272639498593,3.2306086059880293e-74,3.4773332016202255e-70,1.7316629347240356e-302,7.627970545517821e-74,0.0,0.0,0.0
holiday,0.05226367365213899,0.2064236376619594,0.37772356413347596,0.015111702138337003,0.949639340647842,0.0,1.7319983690460846e-41,7.085455899000331e-251,0.024712808138052083,0.0003125207360410318,4.430432338123747e-05,0.16277169509393602,0.5991303698985627,3.1581403212339326e-05,4.2495842003257085e-10,4.546168948765423e-05
weekday,0.8580507414425537,0.758199432978268,0.5543892010264837,0.17038348654404992,0.6447460466208619,1.7319983690460846e-41,0.0,2.1253086468811227e-06,0.6625300373017853,0.812961393375063,0.2449110037943026,9.588875271454578e-07,0.12947300835346545,1.5997127587354537e-05,0.004444944252575362,0.00039026623509207846
workingday,0.6525372759258475,0.07003247448739945,0.7722158582672127,0.6467160544869791,0.7632553287430541,7.085455899000331e-251,2.1253086468811227e-06,0.0,3.824011425067757e-09,2.728500531014193e-13,5.528804988208211e-13,0.038634909233631894,0.11888829256416186,0.0,8.836081675924417e-71,6.524264547106953e-05
weathersit,0.06125895601506766,0.05554418220947037,0.011553798271517975,0.4766072673647239,0.007736272639498593,0.024712808138052083,0.6625300373017853,3.824011425067757e-09,0.0,6.38519555073614e-42,2.9608555204441104e-44,0.0,0.0005448907381262732,4.5250120453587257e-91,1.1892498398711216e-57,1.9797544709205165e-79
temp,1.034051747799234e-72,0.0,6.83486947629746e-08,5.870298659527491e-159,3.2306086059880293e-74,0.0003125207360410318,0.812961393375063,2.728500531014193e-13,6.38519555073614e-42,0.0,0.0,2.88800009963855e-20,0.002297736859593424,0.0,0.0,0.0
atemp,3.143998721030702e-74,0.0,2.313800249479424e-07,2.6161863932522596e-169,3.4773332016202255e-70,4.430432338123747e-05,0.2449110037943026,5.528804988208211e-13,2.9608555204441104e-44,0.0,0.0,7.467697058669016e-12,1.9497340723625192e-16,0.0,0.0,0.0
hum,0.20679091903970057,1.0172529559507849e-88,2.667230849413976e-28,1.4549028708594143e-105,1.7316629347240356e-302,0.16277169509393602,9.588875271454578e-07,0.038634909233631894,0.0,2.88800009963855e-20,7.467697058669016e-12,0.0,0.0,0.0,1.013680000961553e-296,0.0
windspeed,7.968208088812722e-23,9.952085801339988e-88,0.2492936164995769,6.975013520730787e-72,7.627970545517821e-74,0.5991303698985627,0.12947300835346545,0.11888829256416186,0.0005448907381262732,0.002297736859593424,1.9497340723625192e-16,0.0,0.0,8.66781627530303e-33,1.6023146961221746e-27,7.345742373568766e-35
casual,6.696250173948839e-98,6.011150858137791e-57,8.099087744282544e-80,1.645465746038132e-19,0.0,3.1581403212339326e-05,1.5997127587354537e-05,0.0,4.5250120453587257e-91,0.0,0.0,0.0,8.66781627530303e-33,0.0,0.0,0.0
registered,3.5304446e-315,1.6853633335375994e-118,2.3613046844952444e-253,7.122154719648871e-59,0.0,4.2495842003257085e-10,0.004444944252575362,8.836081675924417e-71,1.1892498398711216e-57,0.0,0.0,1.013680000961553e-296,1.6023146961221746e-27,0.0,0.0,0.0
cnt,9.312181162324862e-307,9.182191254314683e-124,7.213184208682753e-247,2.3970215331309397e-57,0.0,4.546168948765423e-05,0.00039026623509207846,6.524264547106953e-05,1.9797544709205165e-79,0.0,0.0,0.0,7.345742373568766e-35,0.0,0.0,0.0
